index,199612,199701,199702,199703,199704,199705,199706,199707,199708,199709,199710,199711,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199903,199904,199905,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,2-Jan,2-Feb,2-Mar,2-Apr,2-May,2-Jun,2-Jul,2-Aug,2-Sep,2-Oct,2-Nov,2-Dec,3-Jan,3-Feb,3-Mar,3-Apr,3-May,3-Jun,3-Jul,3-Aug,3-Sep,3-Oct,3-Nov,3-Dec,4-Jan,4-Feb,4-Mar,4-Apr,4-May,4-Jun,4-Jul,4-Aug,4-Sep,4-Oct,4-Nov,4-Dec,5-Jan,5-Feb,5-Mar,5-Apr,5-May,5-Jun,5-Jul,5-Aug,5-Sep,5-Oct,5-Nov,5-Dec,6-Jan,6-Feb,6-Mar,6-Apr,6-May,6-Jun,6-Jul,6-Aug,6-Sep,6-Oct,6-Nov,6-Dec,7-Jan,7-Feb,7-Mar,7-Apr,7-May,7-Jun,7-Jul,7-Aug,7-Sep,7-Oct,7-Nov,7-Dec,8-Jan,8-Feb,8-Mar,8-Apr,8-May,8-Jun,8-Jul,8-Aug,8-Sep,8-Oct,8-Nov,8-Dec,9-Jan,9-Feb,9-Mar,9-Apr,9-May,9-Jun,9-Jul,9-Aug,9-Sep,9-Oct,9-Nov,9-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.923333333,,,,,0.566666667,0.566666667,0.55,,0.4,,0.815,-0.923333333,,,0.452666667,,-0.566666667,-0.098333333,-0.55,,-0.01,0.5625,-0.815,,,0.4505,-0.452666667,0.314,,-0.468333333,0.461333333,,0.119243243,-0.5625,,,0.38,-0.031625,,-0.314,,0.395,-0.461333333,,0.058756757,,,0.605,0.133333333,0.186839286,,0.652,0.64,-0.395,,,0.317,1.143333333,,-0.605,0.296666667,0.495535714,1.01,0.555638889,0.538,1.33625,1.381428571,1.292857143,0.568283019,0.5465,1.538,1.68347619,0.172105263,-0.327135246,-0.298214286,-0.654168301,-0.708,-0.844431818,-0.900252101,-0.778120301,-0.9363641,-1.119480392,-0.949052632,-1.146809524,-0.340928793,-0.148339244,-0.071785714,0.078229412,0.1634,-0.491818182,0.138823529,0.121929825,0.231739618,0.152047059,0.056052632,0.223333333,0.167712418,0.154513963,0.159411765,0.194633333,0.240975,0.925454545,0.295684211,0.242222222,0.338294405,0.399031373,0.48,0.3776,0.37534188,0.378721279,0.362588235,0.30080303,0.260625,0.244545455,0.190426901,0.210426901,0.191233872,0.207901961,0.2725,0.2432,0.219886878,0.208301075,0.23235,0.232429901,0.174655172,0.194,0.264782506,0.472550064,0.455069001,0.39764539,0.35006,0.357786207,0.352925831,0.385045315,0.380411905,0.380927711,0.465306366,0.55505,0.491506383,0.177016499,0.130265144,0.300211753,0.327365373,0.337710089,0.279623188,0.274612554,0.320793651,0.27745123,0.238371795,0.088859091,0.092188235,0.159733032,0.044775338,-0.181701587,-0.218022147,-0.236296296,-0.141791667,-0.092114275,-0.249305556,-0.173717933,-0.167133333,-0.142670996,-0.228588235,0.001051282,0.164760847,0.327653968,0.371513441,0.373511111,0.335208333,0.261492404,0.491477273,0.358422727,0.441175,0.279838828,0.503210526,0.190904762,0.439999461,0.344049451,0.315583333,0.295147425,0.305018707,0.512927536,0.465606061,0.77075,0.777842391,0.90778022,0.943960205,1.081095238,1.378854789,1.608753638,1.629529412,1.425391463,1.552545018,1.34213324,1.062166667,1.032142553
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116666667,,,,0.153333333,,,0.153333333,,,,,-0.116666667,,,,-0.153333333,,,-0.153333333,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.845,1.51,,0.945,1.1,,,,,,,,1.361666667,-1.51,,-0.945,-1.1,,2.037333333,,,1.756666667,,1.743,-0.206666667,1.025,,,0.911333333,,-1.020666667,,,-1.756666667,0.743333333,-0.9963,-1.345357143,-0.14,,,-0.134261905,0.801666667,-1.016666667,,,,-0.743333333,0.210473913,0.110357143,-0.885,,0.758,-0.128004762,-0.801666667,,0.405,,,,-0.05244664,-0.155,1.035933333,,-0.758,0.2576,,,-0.405,,,,-0.333060606,0.068375,-1.035933333,,,-0.461666667,,,0.453333333,,0.568333333,0.606666667,-0.571666667,0.053291667,,,0.84,0.2855,0.85,0.724166667,0.264666667,0.753333333,-0.568333333,-0.606666667,0.844083333,-0.001666667,0.996666667,,-0.84,0.1495,-0.85,0.305833333,0.162,-0.753333333,,,-0.844083333,0.186,-0.996666667,0.713333333,1.023333333,-0.103333333,,-1.03,-0.88,,,,0.496666667,-0.916,,-0.713333333,-1.023333333,-0.776666667,,,,,0.58,0.593333333,-0.496666667,,,,0.926,1.05,0.873333333,0.74,,,-0.58,-0.593333333,,,,,-0.926,-1.05,-0.873333333,-0.74
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022733333,,0.913333333,,,0.841777778,0.857777778,,,,,,-0.022733333,,-0.913333333,,,-0.841777778,-0.857777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2978,,,,,,,,,,,,-0.2978,,,,,,,,,,,,,,,0.371666667,0.09,,,,,,,0.606666667,0.606666667,0.606666667,0.805,-0.371666667,0.006333333,0.096333333,0.13,,,,0.236666667,-0.38,-0.38,-0.303333333,-0.551333333,,0.170888889,-0.096333333,0.071666667,0.258333333,0.24,,0.041666667,-0.226666667,-0.226666667,-0.023333333,0.045666667,0.295555556,-0.267222222,,-0.201666667,-0.258333333,-0.24,,0.038333333,,,0.05,-0.299333333,-0.295555556,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.21,,,-0.02,,,,,,,,,-0.21,,,,,,,,,,,0.3986,,,,,,,,,0.49,,0.49,-0.3986,0.59,,,0.72,,0.72,,,-0.49,0.536666667,-0.015,,-0.59,0.57,,0.016,,-0.72,0.495,0.598255556,0.6056,-0.156666667,-0.095,,,-0.57,,-0.736,,,-0.495,-0.598255556,-0.6056,-0.38,-0.38,,,,,,,,,,,,0.2,,,,,,,,,,,,-0.2,,,,0.292,,0.293333333,,,0.293333333,,,0.293333333,,,,0.081333333,,0.08,,0.373333333,-0.293333333,,,-0.293333333,,,,-0.373333333,,-0.373333333,,-0.373333333,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,0.283333333,,,,,,,,,-0.28,,,-0.283333333,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.162,,,,,,,-0.1,,,,,-0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425,,,,,,,,,,,,-0.425,,,,,,0.685,,0.485,,,,,,0.415,,,,-0.685,,-0.485,,,,,,-0.415,,,,0.9,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
