TradingMonth,RiskPremium1,SMB1,HML1
Jan-97,0.071225,0.031368,0.009923
Feb-97,0.051225,0.048929,0.008079
Mar-97,0.184225,0.032622,-0.026034
Apr-97,0.085225,-0.059962,-0.028225
May-97,-0.081775,-0.049565,0.029129
Jun-97,-0.004775,0.00928,0.008128
Jul-97,-0.066775,0.045667,0.012483
Aug-97,-0.001775,0.015201,0.046244
Sep-97,-0.116775,0.020197,-0.00717
Oct-97,0.1296,-0.044076,-0.015867
Nov-97,-0.0524,0.030254,-0.01032
Dec-97,0.0326,0.063917,-0.026872
Jan-98,0.0176,0.036294,-0.022241
Feb-98,-0.0214,0.020246,0.022008
Mar-98,0.0166,0.048687,0.018459
Apr-98,0.0786,0.08262,0.013186
May-98,0.0516,0.084841,0.02161
Jun-98,-0.0654,0.019666,0.007504
Jul-98,-0.016325,0.007466,0.005695
Aug-98,-0.128325,0.021851,-0.002736
Sep-98,0.075675,0.076563,0.020761
Oct-98,-0.016325,0.05399,-0.032351
Nov-98,0.017675,-0.017124,-0.010692
Dec-98,-0.083325,-0.028142,0.011228
Jan-99,-0.011325,0.018881,-0.004331
Feb-99,-0.045325,0.00599,0.002148
Mar-99,0.065675,0.052977,0.044272
Apr-99,-0.035325,-0.014966,0.032332
May-99,0.109675,-0.041024,-0.017228
Jun-99,0.35535,-0.061521,-0.089661
Jul-99,-0.06365,0.029849,0.017806
Aug-99,0.01135,0.046152,0.02339
Sep-99,-0.02965,0.009632,-0.015406
Oct-99,-0.05065,0.027021,-0.0008
Nov-99,-0.04665,0.031643,0.007293
Dec-99,-0.04865,-0.020286,-0.032303
Jan-00,0.14635,-0.002598,-0.090995
Feb-00,0.11535,0.038342,-0.011559
Mar-00,0.05735,0.075897,0.022905
Apr-00,0.01335,-0.012343,0.034408
May-00,0.02435,0.030805,0.022902
Jun-00,0.02135,-0.021601,0.026631
Jul-00,0.04435,0.020614,0.031445
Aug-00,-0.00865,0.045046,-0.021536
Sep-00,-0.04765,0.030735,-0.034831
Oct-00,0.02335,0.034288,0.017246
Nov-00,0.05235,0.01308,0.022315
Dec-00,-0.00465,0.018446,0.009637
Jan-01,-0.00965,-0.010636,0.028226
Feb-01,-0.05965,-0.011976,0.023822
Mar-01,0.07335,0.028609,0.004837
Apr-01,-0.00665,0.031669,-0.024298
May-01,0.03435,0.069296,-0.000915
Jun-01,0.00435,0.002785,0.011724
Jul-01,-0.13465,-0.008035,-0.009499
Aug-01,-0.03465,0.016999,-0.008968
Sep-01,-0.05265,-0.02417,0.020976
Oct-01,-0.04765,-0.021092,0.02061
Nov-01,0.03535,0.025214,0.013488
Dec-01,-0.06365,-0.016066,0.020736
Jan-02,-0.10465,-0.032669,0.019441
Feb-02,0.026575,0.010387,-0.026765
Mar-02,0.059575,0.027245,-0.007949
Apr-02,0.040575,0.02234,0.0186
May-02,-0.086425,-0.001085,-0.014776
Jun-02,0.141575,-0.054583,0.029197
Jul-02,-0.043425,0.008019,-0.015861
Aug-02,0.006575,0.005496,0.00481
Sep-02,-0.056425,-0.00442,0.004731
Oct-02,-0.050425,-0.013285,-0.005673
Nov-02,-0.061425,-0.031652,0.015298
Dec-02,-0.054425,0.007075,-0.016986
Jan-03,0.096575,0.007746,0.004305
Feb-03,0.007575,0.011599,0.00007
Mar-03,-0.010425,-0.021711,0.019792
Apr-03,-0.006425,-0.051997,0.0511
