,RF
Jan-97,0.6022
Feb-97,0.6022
Mar-97,0.6022
Apr-97,0.6022
May-97,0.6022
Jun-97,0.6022
Jul-97,0.6022
Aug-97,0.6022
Sep-97,0.6022
Oct-97,0.6022
Nov-97,0.4606
Dec-97,0.4606
Jan-98,0.4606
Feb-98,0.4606
Mar-98,0.4606
Apr-98,0.4249
May-98,0.4249
Jun-98,0.4249
Jul-98,0.3891
Aug-98,0.3891
Sep-98,0.3891
Oct-98,0.3891
Nov-98,0.3891
Dec-98,0.3097
Jan-99,0.3097
Feb-99,0.3097
Mar-99,0.3097
Apr-99,0.3097
May-99,0.3097
Jun-99,0.1856
Jul-99,0.1856
Aug-99,0.1856
Sep-99,0.1856
Oct-99,0.1856
Nov-99,0.1856
Dec-99,0.1856
Jan-00,0.1856
Feb-00,0.1856
Mar-00,0.1856
Apr-00,0.1856
May-00,0.1856
Jun-00,0.1856
Jul-00,0.1856
Aug-00,0.1856
Sep-00,0.1856
Oct-00,0.1856
Nov-00,0.1856
Dec-00,0.1856
1-Jan,0.1856
1-Feb,0.1856
1-Mar,0.1856
1-Apr,0.1856
1-May,0.1856
1-Jun,0.1856
1-Jul,0.1856
1-Aug,0.1856
1-Sep,0.1856
1-Oct,0.1856
1-Nov,0.1856
1-Dec,0.1856
2-Jan,0.1856
2-Feb,0.1856
2-Mar,0.1635
2-Apr,0.1635
2-May,0.1635
2-Jun,0.1635
2-Jul,0.1635
2-Aug,0.1635
2-Sep,0.1635
2-Oct,0.1635
2-Nov,0.1635
2-Dec,0.1635
3-Jan,0.1635
3-Feb,0.1635
3-Mar,0.1635
3-Apr,0.1635
3-May,0.1635
3-Jun,0.1635
3-Jul,0.1635
3-Aug,0.1635
3-Sep,0.1635
3-Oct,0.1635
3-Nov,0.1635
3-Dec,0.1635
4-Jan,0.1635
4-Feb,0.1635
4-Mar,0.1635
4-Apr,0.1635
4-May,0.1635
4-Jun,0.1635
4-Jul,0.1635
4-Aug,0.1635
4-Sep,0.1635
4-Oct,0.1635
4-Nov,0.1856
4-Dec,0.1856
5-Jan,0.1856
5-Feb,0.1856
5-Mar,0.1856
5-Apr,0.1856
5-May,0.1856
5-Jun,0.1856
5-Jul,0.1856
5-Aug,0.1856
5-Sep,0.1856
5-Oct,0.1856
5-Nov,0.1856
5-Dec,0.1856
6-Jan,0.1856
6-Feb,0.1856
6-Mar,0.1856
6-Apr,0.1856
6-May,0.1856
6-Jun,0.1856
6-Jul,0.1856
6-Aug,0.1856
6-Sep,0.2076
6-Oct,0.2076
6-Nov,0.2076
6-Dec,0.2076
7-Jan,0.2076
7-Feb,0.2076
7-Mar,0.2076
7-Apr,0.2296
7-May,0.2296
7-Jun,0.2515
7-Jul,0.2515
7-Aug,0.2734
7-Sep,0.2952
7-Oct,0.3169
7-Nov,0.3169
7-Dec,0.3169
8-Jan,0.3386
8-Feb,0.3386
8-Mar,0.3386
8-Apr,0.3386
8-May,0.3386
8-Jun,0.3386
8-Jul,0.3386
8-Aug,0.3386
8-Sep,0.3386
8-Oct,0.3169
8-Nov,0.2952
8-Dec,0.2076
9-Jan,0.1856
9-Feb,0.1856
9-Mar,0.1856
9-Apr,0.1856
9-May,0.1856
9-Jun,0.1856
9-Jul,0.1856
9-Aug,0.1856
9-Sep,0.1856
9-Oct,0.1856
9-Nov,0.1856
9-Dec,0.1856
10-Jan,0.1856
10-Feb,0.1856
10-Mar,0.1856
10-Apr,0.1856
10-May,0.1856
10-Jun,0.1856
10-Jul,0.1856
10-Aug,0.1856
10-Sep,0.1856
10-Oct,0.1856
10-Nov,0.206
10-Dec,0.206
11-Jan,0.2263
11-Feb,0.2466
11-Mar,0.2466
