index,199612,199701,199702,199703,199704,199705,199706,199707,199708,199709,199710,199711,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199903,199904,199905,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,2002/1/1 0:00,2002/2/1 0:00,2002/3/1 0:00,2002/4/1 0:00,2002/5/1 0:00,2002/6/1 0:00,2002/7/1 0:00,2002/8/1 0:00,2002/9/1 0:00,2002/10/1 0:00,2002/11/1 0:00,2002/12/1 0:00,2003/1/1 0:00,2003/2/1 0:00,2003/3/1 0:00,2003/4/1 0:00,2003/5/1 0:00,2003/6/1 0:00,2003/7/1 0:00,2003/8/1 0:00,2003/9/1 0:00,2003/10/1 0:00,2003/11/1 0:00,2003/12/1 0:00,2004/1/1 0:00,2004/2/1 0:00,2004/3/1 0:00,2004/4/1 0:00,2004/5/1 0:00,2004/6/1 0:00,2004/7/1 0:00,2004/8/1 0:00,2004/9/1 0:00,2004/10/1 0:00,2004/11/1 0:00,2004/12/1 0:00,2005/1/1 0:00,2005/2/1 0:00,2005/3/1 0:00,2005/4/1 0:00,2005/5/1 0:00,2005/6/1 0:00,2005/7/1 0:00,2005/8/1 0:00,2005/9/1 0:00,2005/10/1 0:00,2005/11/1 0:00,2005/12/1 0:00,2006/1/1 0:00,2006/2/1 0:00,2006/3/1 0:00,2006/4/1 0:00,2006/5/1 0:00,2006/6/1 0:00,2006/7/1 0:00,2006/8/1 0:00,2006/9/1 0:00,2006/10/1 0:00,2006/11/1 0:00,2006/12/1 0:00,2007/1/1 0:00,2007/2/1 0:00,2007/3/1 0:00,2007/4/1 0:00,2007/5/1 0:00,2007/6/1 0:00,2007/7/1 0:00,2007/8/1 0:00,2007/9/1 0:00,2007/10/1 0:00,2007/11/1 0:00,2007/12/1 0:00,2008/1/1 0:00,2008/2/1 0:00,2008/3/1 0:00,2008/4/1 0:00,2008/5/1 0:00,2008/6/1 0:00,2008/7/1 0:00,2008/8/1 0:00,2008/9/1 0:00,2008/10/1 0:00,2008/11/1 0:00,2008/12/1 0:00,2009/1/1 0:00,2009/2/1 0:00,2009/3/1 0:00,2009/4/1 0:00,2009/5/1 0:00,2009/6/1 0:00,2009/7/1 0:00,2009/8/1 0:00,2009/9/1 0:00,2009/10/1 0:00,2009/11/1 0:00,2009/12/1 0:00,2010/1/1 0:00,2010/2/1 0:00,2010/3/1 0:00,2010/4/1 0:00,2010/5/1 0:00,2010/6/1 0:00,2010/7/1 0:00,2010/8/1 0:00,2010/9/1 0:00,2010/10/1 0:00,2010/11/1 0:00,2010/12/1 0:00,2011/1/1 0:00,2011/2/1 0:00,2011/3/1 0:00,2011/4/1 0:00,2011/5/1 0:00,2011/6/1 0:00,2011/7/1 0:00,2011/8/1 0:00,2011/9/1 0:00,2011/10/1 0:00,2011/11/1 0:00,2011/12/1 0:00,2012/1/1 0:00,2012/2/1 0:00,2012/3/1 0:00,2012/4/1 0:00,2012/5/1 0:00,2012/6/1 0:00,2012/7/1 0:00,2012/8/1 0:00,2012/9/1 0:00,2012/10/1 0:00,2012/11/1 0:00,2012/12/1 0:00,2013/1/1 0:00,2013/2/1 0:00,2013/3/1 0:00,2013/4/1 0:00,2013/5/1 0:00,2013/6/1 0:00,2013/7/1 0:00,2013/8/1 0:00,2013/9/1 0:00,2013/10/1 0:00,2013/11/1 0:00,2013/12/1 0:00,2014/1/1 0:00,2014/2/1 0:00,2014/3/1 0:00,2014/4/1 0:00,2014/5/1 0:00,2014/6/1 0:00,2014/7/1 0:00,2014/8/1 0:00,2014/9/1 0:00,2014/10/1 0:00,2014/11/1 0:00,2014/12/1 0:00,2015/1/1 0:00,2015/2/1 0:00,2015/3/1 0:00,2015/4/1 0:00,2015/5/1 0:00,2015/6/1 0:00,2015/7/1 0:00,2015/8/1 0:00,2015/9/1 0:00,2015/10/1 0:00,2015/11/1 0:00,2015/12/1 0:00,2016/1/1 0:00,2016/2/1 0:00,2016/3/1 0:00,2016/4/1 0:00,2016/5/1 0:00,2016/6/1 0:00,2016/7/1 0:00,2016/8/1 0:00,2016/9/1 0:00,2016/10/1 0:00,2016/11/1 0:00,2016/12/1 0:00,2017/1/1 0:00,2017/2/1 0:00,2017/3/1 0:00,2017/4/1 0:00,2017/5/1 0:00,2017/6/1 0:00,2017/7/1 0:00,2017/8/1 0:00,2017/9/1 0:00,2017/10/1 0:00,2017/11/1 0:00,2017/12/1 0:00,2018/1/1 0:00,2018/2/1 0:00,2018/3/1 0:00,2018/4/1 0:00,2018/5/1 0:00,2018/6/1 0:00,2018/7/1 0:00,2018/8/1 0:00,2018/9/1 0:00,2018/10/1 0:00
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17713218426,,,,,21217615626,73699436764,34596211366,,,,8886354210,,,,42761892550,,,46833178050,,,77053493131,35323869326,,,,31208894508,,-9256945968,,,3.15E+11,,,,,,48302872063,66402232502,,,,-71767294060,,,4.75E+11,,,,-53152366506,-3.58E+11,,1.08E+11,28720244042,,,,,,,,,1.13E+12,2.23E+11,89595552135,7.98E+11,-6.26E+11,5.77E+11,7.87E+11,-3.72E+11,2.40E+11,3.90E+11,-3.79E+12,-3.21E+11,1.76E+11,85821433805,-4.83E+11,-1.53E+11,-6.36E+11,-3.62E+11,-1.09E+12,8.59E+11,3.02E+11,7.08E+11,-5.71E+11,2.22E+11,-90365194014,1.05E+12,3.01E+12,3.58E+11,,-8.61E+11,-1.33E+12,8.54E+12,1.61E+12,-3.00E+11,-8.17E+11,-7.88E+12,-1.29E+12,1.29E+11,-6.20E+11,-2.26E+12,1.40E+12,-1.56E+12,2.95E+12,1.13E+13,6.71E+11,2.81E+12,6.58E+11,2.96E+12,1.18E+13,1.77E+12,1.28E+12,-8.72E+11,8.07E+11,1.00E+12,-4.83E+11,1.45E+12,4.82E+12,-2.80E+12,2.49E+12,7.14E+11,4.54E+12,6.35E+11,6.84E+12,4.30E+11,2.84E+11,-3.18E+11,3.19E+11,-1.19E+12,4.92E+12,-8.81E+11,2.68E+11,7.92E+11,-1.06E+13,3.04E+12,1.59E+12,2.68E+12,9.20E+11,-1.11E+12,1.16E+12,-6.24E+12,-5.06E+12,2.15E+13,-4.07E+12,9.05E+11,2.23E+12,-5.53E+12,1.04E+12,3.95E+11,2.32E+11,2.67E+12,-3.04E+12,-8.08E+11,8.79E+11,,3.70E+11,3.27E+12,1.46E+12,2.39E+12,6.31E+12,3.95E+11,2.38E+11,,,,,,,-1.05E+13,3.13E+11,5.24E+12,4.45E+12,1.10E+12,-2.08E+12,9.71E+12,5.34E+13,1.46E+13,-2.45E+12,9.63E+11,-4.44E+12,-2.87E+12,-8.53E+13,-5.79E+12,-5.74E+13,-5.44E+11,3.10E+12,1.28E+12,-6.71E+12,-2.08E+12,-1.58E+13,1.52E+12,1.58E+12,9.16E+12,2.29E+12,-8.15E+12,2.34E+12
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43728491753,,,,19658968628,,,-19739849562,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5328460835,-7323420786,,-3685261402,-3.42E+11,,,,,,,,5595345180,,,,,,,,,-23620238852,,,5662449878,,,,11719950685,,,,,,-3826748975,11451750258,5637265891,66384180791,,,-4252543478,31051842331,,,,,,-1.16E+11,-28920056413,,,-1.25E+11,-1.89E+11,,,-8998089154,,,,-50213606139,25450978255,30088673460,,,96842711596,,,,,,,1.56E+11,-1.09E+11,,,,56834722774,,,18221862079,,-29578928894,28150991683,,-1.45E+11,,,86159657383,27864545899,2.52E+11,25296218078,-1.91E+11,-1.26E+11,,,-1.10E+11,-1.27E+11,-54653760238,,,85278494126,,19942909212,21086077412,,,,,48932145442,,9822678882,40460558170,-1.26E+11,,,,,,,-1.51E+11,,,,,,,,,,,-3.71E+11,,,,,1.30E+12,-1.01E+11,22025248456,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2685086787,,-26956482607,,,2553745306,14706937370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207637320,,,,,,,,,,,,,,,,,,,,,,,,,,,12609955556,-1810982049,,,,,,,,,-15680745156,-77591015274,,-14366489730,-7415348879,30314807618,,,,6.45E+11,28803233201,22474025439,8.54E+11,82493948622,,-27488364569,,-67128813692,79197950378,5.93E+11,,-46735556599,,,3.00E+11,1.70E+11,17711247535,,,,,,,-19587822964,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2489939949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1034686347,,,,,,,,,7042253521,,,,,,,,,,,,,,,,,,,,,,,-85722985240,,,,,,,,,,,22307592134,,-23408061508,,,62052439797,,30421774240,,,,18682808613,-58587570621,,,1.53E+11,3.40E+11,55375953079,,,,25307626829,-7757168260,-9623457308,16954479902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60867688323,,7.59E+11,,,-15904033002,,,9425161643,,,,-51936850789,,-2.47E+11,,-30016362710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4845055355,,,11537150648,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3632896146,,,,,-4415897230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86634904714,,,,,,,,,,,,,,,,,,96651626692,,-19827288428,,,,,,67056910569,,,,,,,,,,,,,,,,25079687792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
