,SIZE,BM,AM,LEV,EP,CFP,OCFP,mom12,SP,DP,AG,LG,BVEG,INVG,INVchg,TAXchg,SG,PMG,SGINVG,BM_ia,CFP_ia,size_ia,mom6,mom36,momchg,lagretn,RD,RDsale,rd_mve,beta,betasq,betad,idvol,vol,skew,coskew,volumnd,idskew,turn,std_turn,std_vol,retnmax,illq,LM,sharechg,age,aeavol,imom,pricedelay,ACC,absacc,stdacc,ACCP,cinvest,depr,pchdepr,egr,fgr5yr,grCAPX,pchcapx_ia,grithnoa,invest,pchsale_pchinvt,pchsale_pchrect,pchsale-pchxsga,realestate,sgr,NOA,hire,chemp_ia,ROE,ROA,CT,PA,cashpr,cash,ATO,CR,QR,Cfdebt,salecash,saleinv,CRG,QRG,salerec,tang,pchsaleinv,pchgm_pchsale,roic,operprof,nanalyst,chnanalyst,chfeps,nincr,rusp,sfe
Jan-97,0.009636467,0.070763276,-0.027525133,-0.023914333,-0.055522867,,,0.046755033,-0.028297,0.0729844,-0.033812897,-0.050221828,-0.03759969,-0.01683408,-0.02235,0.004671481,-0.024701172,-0.034754724,0.01263688,0.081711345,,0.007750333,0.051223333,-0.0867909,0.007383967,-0.0510944,-0.02940231,0.03172969,-0.018911724,0.03427055,0.03427055,0.034042633,0.0107949,0.004819643,0.004764917,-0.055320217,0.014859767,-0.013343617,0.05553,0.025062,0.01742615,0.009248517,0.000840667,-0.007585783,-0.00768895,-0.0140522,-0.0015567,0.00510915,-0.008013217,,,,,,,,-0.02868975,,,,-0.0254185,0.006134306,0.04414,,0.04431375,-0.02587275,0.04021525,-0.07780825,,,-0.06669525,-0.09331375,-0.00388025,0.03017025,0.101471,-0.06283775,-0.053316367,0.007951833,0.0045172,-0.0225568,0.005817467,0.008687,0.037942621,0.042195793,-0.0461544,0.019490467,0.03236332,0.009027296,-0.053605667,-0.033411379,,,,-0.0352657,0.0151673,
Feb-97,-0.129933355,0.002352133,-0.0008236,0.020645567,-0.124408933,,,-0.119234161,-0.0036653,-0.063688433,-0.034150034,-0.009073586,-0.063626379,0.0163354,-0.02649716,-0.038009519,-0.031451379,-0.050241655,-0.02986388,-0.0048074,,-0.096570548,-0.055621065,0.034337167,0.060346677,-0.018614258,-0.045933552,0.050531379,0.060857966,0.009151935,0.009151935,0.013865952,-0.012446113,0.002859257,0.002895968,-2.66E-05,-0.052840694,0.010048613,-0.015120871,-0.008634435,-0.043597081,-0.008736758,-0.029619774,0.051865452,-0.018055016,0.03779371,0.02543229,-0.016236,0.001077984,,,,,,,,0.04983275,,,,-0.02092675,-0.005644356,-0.0194355,,-0.02433025,-0.01046525,-0.03907425,-0.050851,,,0.0047665,-0.037878,-0.0156945,0.0421545,0.154873,0.01593275,-0.0446168,0.013297367,0.016873233,-0.081113767,0.015199267,0.0221303,-0.02037569,-0.017042931,0.008411767,0.025594567,-0.01648072,-0.011233889,-0.046971933,-0.072458034,,,,-0.058579,-0.078645367,
Mar-97,-0.05694571,-0.070122367,-0.095858433,-0.034409867,0.0229626,,,-0.000238871,0.029278667,-0.064060567,0.044382414,0.051599379,0.048960379,0.02934136,0.0743214,0.002752667,0.107672069,0.08406269,0.07955976,-0.065901233,,-0.061644419,0.001663484,0.026386467,0.006276968,-0.015503484,-0.028437,0.013894517,0.047435586,-0.019174565,-0.019174565,0.007998403,-0.018373694,0.010208155,-0.009560694,0.032799097,-0.051305548,0.006948968,-0.02753721,-0.033067597,-0.032884097,-0.002026097,-0.028563629,0.048169242,-0.000497952,0.007089935,0.018605758,-0.025340968,0.000186758,,,,,,,,0.13693925,,,,-0.008849786,0.00854877,0.0463195,,-0.1401085,-0.095132,0.03354725,-0.0716945,,,-0.0005575,0.01849225,-0.00596375,0.0276705,0.692486,-0.0835245,0.008648645,-0.009264323,-0.006322323,0.043067774,-0.039892267,0.055318933,0.02704775,0.028451786,0.0396669,-0.007602677,0.04539576,-0.049731852,0.02299,0.021938931,,,,0.058120452,0.03641429,
Apr-97,0.163856062,-0.121165871,-0.143314097,-0.077205419,0.112256935,,,0.135811563,-0.010491742,-0.008540742,0.202889552,0.187513069,0.169868414,0.11267124,0.10346376,-0.028107185,0.1643653,0.131970033,0.0272618,-0.15385871,,0.109858937,-0.054837563,0.028463645,0.054028812,0.168457125,-0.009824862,-0.092004621,-0.095402724,-0.08278525,-0.08278525,-0.088899875,0.005206437,0.075308083,-0.00681025,0.057019484,0.010064031,0.031337375,-0.064774859,-0.013208766,0.064340828,-0.010638781,0.048319125,-0.061834781,0.039438703,0.015677797,0.012934172,-0.010076953,0.072381172,,,,,,,,0.16155275,,,,0.047459607,0.00404604,0.1621735,,-0.29294675,-0.007975,0.215974,-0.14430475,,,0.249214,0.14564025,0.2215555,0.124043,0.665984,-0.17133425,0.089315063,0.016888625,0.009546188,0.198073719,0.0120537,0.0574514,0.054919393,0.048654571,0.1184511,-0.04302125,0.03208216,-0.21784437,0.069786688,0.1526889,,,,0.076605094,0.093625844,
May-97,0.104029667,-0.062949242,-0.041604879,-0.000261303,0.026683091,,,0.09113697,0.014268212,0.003635394,0.008700533,0.017941367,-0.003193467,-0.056094667,-0.017431,-0.03090131,-0.049514667,-0.001544267,0.029020267,-0.06157697,,0.089401,0.01602397,0.005762969,-0.039169879,0.016967939,0.067313281,-0.017253813,0.0149015,-0.026194545,-0.026194545,-0.028578985,0.026911091,-0.011061381,0.010196455,-0.020254136,0.027273636,-0.013958682,0.002569152,-0.043086318,0.013402621,-0.014655576,0.048732621,-0.028615167,0.017092652,-0.025142803,-0.009184924,-0.028687742,-0.023584045,,,,,,,,0.00743225,,,,-0.014902071,-0.00186484,0.09880525,,0.10232375,0.00578625,0.053197,-0.00838975,,,-0.16787925,-0.12029325,0.0488895,-0.219758,0.209518,0.16952525,0.0278545,-0.006045375,-0.009945594,0.023041063,0.035561033,-0.027714933,0.08845025,0.081398071,0.027216167,-0.024067719,-0.0009774,-0.015054815,0.019523563,0.071409742,,,,0.015874303,-0.017624364,
Jun-97,0.042794647,-0.075007235,-0.082994971,-0.041362088,0.004288029,,,0.092348324,-0.070362588,0.018240206,0.069453267,0.0302597,0.037940767,-0.006401233,0.038686133,-0.004025379,0.051574733,0.0252078,0.033477033,-0.086167294,,0.067708912,0.041692853,0.03370997,0.023880853,0.045423676,-0.018964364,0.043735273,-0.097823455,0.002242353,0.002242353,-0.005576985,0.017919735,0.055272096,-0.0091245,-0.028247956,0.028446147,0.004053368,0.023585941,0.016975721,0.036536971,0.015653324,0.024883618,-0.0340135,0.018720235,0.033139721,-0.051391309,0.005650721,-0.03859325,,,,,,,,0.11658025,,,,-0.009040061,-0.008030618,-0.128588,,-0.09855,-0.2302405,-0.0516055,-0.0247985,0.012886,-0.121737813,0.01117325,0.0002265,-0.01079375,0.0459625,-0.111957,-0.04379725,0.007853412,-0.068622118,-0.029344735,0.015663324,-0.034292353,-0.000888588,0.008961267,0.0346612,-0.018956588,-0.032946059,0.010622433,-0.018868767,0.036747235,-0.007776529,,,,0.033580176,0.044366265,
Jul-97,-0.1182735,0.056058543,0.056446917,0.023742,-0.025624528,,,-0.120654694,0.061856972,-0.0121635,-0.047578733,0.025815233,-0.029779,-0.027217767,-0.0299358,0.039183345,0.0034625,-0.0498357,0.021128933,0.0414508,,-0.085520583,-0.039973611,-0.039426543,0.038425694,-0.057593556,-0.020386343,-0.030463229,0.087129429,0.002867181,0.002867181,-0.004188375,-0.025232083,-0.042959763,-0.015492847,0.039336931,-0.048501333,0.016111181,-0.021846389,-0.060374042,-0.081493819,-0.049729833,-0.042820764,0.059854958,-0.01791525,-0.037895389,0.030023556,-0.005073111,0.037509083,,,,,,,,0.0125965,,,,-0.060274059,0.008579553,0.10280925,,-0.054391,-0.0720555,0.16564975,-0.050209,-0.073388333,-0.012587,-0.2064625,-0.18539775,-0.0428205,-0.1865755,-0.01533775,0.00183825,0.051848722,0.024515361,0.022543417,-0.0536725,0.015394944,0.026401286,-0.013006733,-0.014917767,0.045922083,-0.051826611,0.0137424,-0.006636067,-0.076184861,0.019479444,,,,-0.021772583,0.037478472,
Aug-97,-0.114375486,0.174124676,0.067443054,0.035470892,-0.095678162,,,-0.204146973,0.022937081,-0.025515027,-0.0924382,0.003363033,-0.093223467,-0.011805267,0.023065833,-0.016559103,-0.0489521,-0.068170333,-0.0541301,0.154621676,,-0.094487595,-0.182568703,-0.085018081,-0.044592405,0.070674649,0.06625373,0.024419324,0.078931595,0.018825311,0.018825311,-0.000407149,-0.015082541,-0.015917414,0.036283905,0.016365284,-0.029399284,-0.010590554,-0.025063189,-0.058930284,-0.077496135,-0.014114838,-0.033863108,0.081348378,-0.040982595,0.020077257,0.071541432,0.007788108,0.004219541,,,,,,,,-0.0198175,,,,0.071767639,-0.001840234,0.0188405,,0.13399875,0.07587075,0.047763,0.07314475,-0.18117925,0.114863444,-0.16291025,-0.17154975,-0.059984,-0.185169,0.0376045,-0.01967775,-0.088967351,0.077064324,0.032013757,-0.118700541,-0.022108811,-0.055622459,-0.006465067,-0.0713182,-0.004786027,0.040343973,-0.049643333,0.014892033,-0.162155459,-0.082232351,,,,-0.045485378,-0.088483432,
Sep-97,-0.0980185,-0.01394415,0.0551993,0.03761825,-0.052870821,,,-0.06270975,0.024926775,-0.031118205,-0.051714053,-0.062549237,-0.020622053,-0.0518454,-0.035686483,-0.007466655,-0.053254263,-0.057160763,-0.011685724,-0.0145266,,-0.102628825,-0.04673075,-0.030500775,-0.02379575,-0.006307625,-0.02263935,-0.003286282,0.06293095,-0.019708237,-0.019708237,-0.0106458,0.018283287,-0.016963925,0.012458438,0.022798712,-0.04675005,0.005878275,-0.020161775,-0.008041312,-0.037639687,-0.007108562,-0.064137313,0.056535588,-0.008698413,-0.002506775,-0.014374275,0.021211937,0.005919088,,,,,,,,-0.106295,,,,0.006120649,0.01503987,-0.06509225,,-0.00982575,0.03354875,-0.02290825,0.066242,0.07410825,0.034934342,0.016308,-0.05073425,0.09432925,0.09423875,-0.145233,-0.02076475,-0.003204375,-0.008370475,-0.01380675,-0.010459525,0.005891075,-0.00939485,-0.006089433,-0.037251133,-0.02357515,-0.02790145,0.018188133,0.0362265,-0.023947725,0.00532295,,,,-0.014943325,-0.03222525,
Oct-97,0.093492619,-0.136178488,-0.111182512,-0.029716585,0.020042561,,,0.010269463,-0.076286,0.048540512,0.008845256,0.047762846,0.021733462,-0.0317024,-0.022944345,-0.002177966,0.01657859,-0.009729718,0.011753862,-0.130234732,,0.075572714,-0.038573683,0.050521659,-0.061062366,-0.072442571,-0.011076585,0.019660488,-0.055187049,0.016867952,0.016867952,0.02456669,0.011573488,-0.012909504,-0.015258667,-0.025795964,0.048925821,0.002627488,0.042084738,-0.025579881,-0.016351988,-0.006371036,0.030620738,0.001163357,0.011205417,0.018730762,-0.036848262,-0.012296381,-0.006479917,,,,,,,,-0.013089,,,,-0.026124902,-0.002002805,-0.173259,,-0.211561,-0.05578175,-0.120152,-0.102532,-0.20520675,-0.054148875,-0.08115375,-0.0346555,-0.2805225,-0.020514,0.206226,-0.04437875,-0.001708854,-0.042893195,-0.041986171,0.04408078,-0.038764829,-0.004136683,-0.000784821,-0.009940179,-0.063931537,-0.045904463,0.004560667,-0.0072848,-0.020628171,0.046248707,,,,0.04542469,-0.023746,
