,SIZE,BM,AM,LEV,EP,CFP,OCFP,mom12,SP,DP,AG,LG,BVEG,INVG,INVchg,TAXchg,SG,PMG,SGINVG,BM_ia,CFP_ia,size_ia,mom6,mom36,momchg,lagretn,RD,RDsale,rd_mve,beta,betasq,betad,idvol,vol,skew,coskew,volumnd,idskew,turn,std_turn,srd_dvol,retnmax,illq,LM,sharechg,age,aeavol,imom,pricedelay,ACC,absacc,stdacc,ACCP,cinvest,depr,pchdepr,egr,fgr5yr,grCAPX,pchcapx_ia,grithnoa,invest,pchsale_pchinvt,pchsale_pchrect,pchsale-pchxsga,realestate,sgr,NOA,hire,chemp_ia,ROE,ROA,CT,PA,cashpr,cash,ATO,CR,QR,CFdebt,salecash,saleinv,CRG,QRG,salerec,tang,pchsaleinv,pchgm_pchsale,roic,operprof,nanalyst,chnanalyst,chfeps,nincr,rusp,sfe
Jan-97,0.005074139,0.083505656,-0.023765415,-0.015495202,-0.07229013,,,0.081281563,-0.039801182,0.070405874,-0.015345913,-0.025398839,-0.013631801,0.047358566,-0.025358417,0.000192733,-0.017600627,-0.023696395,0.012792122,0.077206638,,0.003628469,0.06667316,-0.049100031,0.033329808,-0.065923335,-0.060331343,0.008602652,-0.024523552,0.022344728,0.022344728,0.027128191,0.005736665,0.007306852,-0.005086598,-0.057948252,0.011522205,0.002898139,0.066837682,0.017545064,0.018724316,-0.004291225,-0.002666003,-0.013038917,-0.002787522,-0.010903018,-0.013724144,0.004570078,-0.035140714,,,,,,,,-0.027800251,,,,0.000774043,,0.003014701,,0.02555562,-0.000520139,-0.046470618,-0.067277007,,,-0.057905998,-0.11132827,-0.063351672,0.067311958,0.101471,-0.078928097,-0.063700173,0.005649026,-0.005903618,0.005389735,0.017810712,0.004098895,0.002849012,0.018084224,-0.027551338,0.007565596,0.005482433,-0.01520034,-0.025661987,-0.017467074,,,,-0.054374775,0.010390969,
Feb-97,-0.126008559,-0.022242569,-0.016909491,0.00538381,-0.126792013,,,-0.095114766,-0.003111284,-0.044182507,-0.014970664,-0.007155665,-0.044179062,-0.014961661,-0.040446421,-0.011576482,-0.024330507,-0.046485693,-0.03290849,-0.021652985,,-0.085623408,-0.047385308,0.069031157,0.042043903,-0.00750952,-0.015885958,0.020241623,0.067509203,0.007708908,0.007708908,0.009653375,-0.005525006,0.002552204,0.010917511,-0.003043409,-0.048398415,0.007688279,-0.005735648,-0.008429147,-0.031996236,-0.010202747,-0.013880227,0.037745498,-0.00520583,0.007676629,0.027783714,-0.017497943,-0.011998908,,,,,,,,0.028761488,,,,-0.003144502,,-0.002159403,,0.011086847,0.010276323,-0.060062166,-0.030711833,,,-0.033808042,-0.083225268,-0.05136944,0.066055202,0.154873,0.003400129,-0.035908222,0.018700461,0.032192355,-0.093511835,0.033230908,0.038270547,-0.016154695,-0.002088044,0.035325118,0.011992127,-0.010436341,-0.014792392,-0.041870769,-0.058036399,,,,-0.027621462,-0.076544917,
Mar-97,-0.042722114,-0.070752857,-0.128810753,-0.054140145,0.037296473,,,0.039485463,0.005655135,-0.05960971,0.078322108,0.067366523,0.1338557,0.04954705,0.104858064,0.077567998,0.129650024,0.092249734,0.080367037,-0.064575641,,-0.042940894,0.009259479,0.092844926,-0.033777886,-0.026232232,0.014402794,-0.048980646,-0.002414761,-0.041326364,-0.041326364,-0.008274126,0.011012196,0.009018935,0.017042838,0.051441404,-0.044014574,0.007748474,-0.031211487,-0.026957723,-0.030358094,-0.008522681,-0.004186843,0.04654382,0.01793677,0.015359211,0.048061717,-0.004993069,-0.000233779,,,,,,,,0.160142482,,,,0.052320944,,0.116871005,,-0.100933869,-0.02047795,0.032001143,0.011514435,,,0.048151,0.010697509,0.01778051,0.171105463,0.692486,0.01776502,0.0296998,-0.010124622,-0.002259937,0.080427576,0.058133322,0.03416525,0.022874492,0.027073664,0.081289624,-0.004956677,0.040700552,-0.05063396,0.046069388,0.08012604,,,,0.058684075,0.050966351,
Apr-97,0.135357389,-0.177039069,-0.145525222,-0.106862252,0.106191421,,,0.154188986,-0.015054603,0.039752716,0.211530097,0.129686937,0.215661051,0.141883959,0.124811445,-0.02316795,0.136413835,0.12390964,0.000844387,-0.240447236,,0.09202176,-0.056440611,0.052662466,0.012077953,0.241907082,0.057587807,-0.096694392,-0.095804265,-0.099125469,-0.099125469,-0.06468802,0.063030237,0.107595432,0.043195819,0.092276396,-0.000151648,-0.000957929,-0.076546601,-0.022930172,0.046841504,0.012320459,0.04104807,-0.055279669,0.053681246,-0.000770769,0.01776707,-0.026513695,0.085719611,,,,,,,,0.231459513,,,,0.092496385,,0.232594195,,-0.179798893,0.051279506,0.259014446,-0.185848226,,,0.409138553,0.160681729,0.270060764,0.357984045,0.665984,-0.160457715,0.045449146,0.033903141,0.021521744,0.188551656,0.117096218,0.072740314,0.051893013,0.045579921,0.145559053,-0.036608961,0.014746237,-0.245976887,0.044854218,0.210127106,,,,0.055334976,0.170677983,
May-97,0.115532167,-0.083843028,-0.039093936,-0.013001424,0.118415784,,,0.131221904,0.061619768,0.058117537,0.065560101,0.085120498,0.01864822,0.059863028,0.03401017,-2.23E-05,0.07998038,-0.000178761,0.055049292,-0.059470007,,0.092586151,0.08835938,0.106640568,-0.026367203,0.047148813,0.138043094,-0.121051729,0.051600403,-0.06849731,-0.06849731,-0.064029099,0.066706274,-0.006828345,0.060892151,0.005529946,0.040291809,-0.062042326,-0.012195411,-0.074956229,0.028782117,-0.012566511,0.051547674,-0.038470381,0.052356336,-0.022645336,0.025197842,-0.021483686,-0.022734822,,,,,,,,0.049210758,,,,0.040909144,,0.058104974,,0.037855695,0.010442871,0.027324103,-0.033535498,,,-0.161903957,-0.185045097,0.098465016,-0.229034479,0.156468221,0.031960374,0.054161101,-0.047549105,-0.05217218,0.043302023,0.120279246,0.018668983,0.113325227,0.090571922,0.103221103,-0.01196452,0.018447898,-0.023355927,0.078742978,0.127057453,,,,0.043375133,-0.014709569,
Jun-97,0.045316647,-0.086323639,-0.137794873,-0.076029183,0.066803873,,,0.128355458,-0.079656568,-0.008252942,0.098174069,0.060368691,0.099081604,0.020681027,0.090569598,-0.013001127,0.075897874,0.017376726,0.001542874,-0.105244346,,0.077132468,0.063043437,0.065698303,0.079296063,0.055800143,0.026817216,-0.002085244,-0.136425361,-0.020410695,-0.020410695,-0.009844052,0.048959199,0.058636837,0.019757864,-0.011147125,0.039857578,-0.000102808,0.003257491,-0.02229861,0.052937063,0.024469212,0.032664683,-0.044679644,0.033696751,0.043059403,-0.05304103,0.019474044,-0.032248507,,,,,,,,0.056560518,,,,-0.051577886,,-0.194802598,,-0.169379172,-0.100915104,-0.177156541,-0.010097547,-0.051464778,-0.124710252,0.027799443,-0.02839167,0.007554011,0.029380759,-0.134271462,0.002247517,0.009638567,-0.075853307,-0.026653804,0.017240807,0.018863294,0.005365097,0.027914466,0.068622146,0.044511716,-0.004104755,-0.010383474,0.004864991,0.082203914,0.033207512,,,,-0.020231547,0.042056794,
Jul-97,-0.110853462,0.032850074,0.049550325,0.011483191,-0.051704912,,,-0.120436311,0.077419142,-0.031886587,-0.016248031,0.054903506,-0.06097267,-0.004984733,-0.02141417,0.004668958,0.026356056,-0.064201832,0.022350808,0.031182215,,-0.066536895,-0.056339649,-0.043230371,-0.017600057,-0.080664419,0.000309001,-0.059558282,0.103942666,0.042314104,0.042314104,0.01788037,-0.04351535,-0.012742294,-0.028432684,0.028385722,-0.048438688,0.038159326,-0.016967318,-0.069243609,-0.075020189,-0.050145997,-0.031297721,0.061900429,-0.022557859,-0.039637715,0.054290932,-0.026665307,0.02279468,,,,,,,,-0.077203017,,,,-0.01798226,,0.031815966,,-0.053521534,-0.076422062,0.069630477,-0.030530137,-0.085830641,0.007744112,-0.203187085,-0.161779344,-0.065095167,-0.152020594,0.027945216,0.024152355,0.056304569,0.015001213,0.033301499,-0.059836062,0.02327316,0.064554208,-0.035984874,-0.068997703,0.044281406,-0.050751934,0.02293903,-0.043505983,-0.09720394,0.001275442,,,,-0.019835708,0.032209359,
Aug-97,-0.113019223,0.217993971,0.114922058,0.070459268,-0.148295226,,,-0.22612251,0.000569585,-0.02544622,-0.112436166,0.003944521,-0.130783757,-0.035922716,-0.040015252,-0.03099016,-0.079813376,-0.14736163,-0.078997915,0.204040015,,-0.086488388,-0.195911211,-0.099646643,-0.033763232,0.101597057,0.018742723,0.046529297,0.129072016,0.032126113,0.032126113,0.029001975,-0.047671087,-0.00704756,0.011776353,0.009326098,-0.025807407,0.002070412,0.02228431,-0.033976269,-0.071906854,0.020946612,-0.026324459,0.070595915,-0.04622064,0.006260562,0.096933825,0.004004432,-0.033499677,,,,,,,,0.019396857,,,,0.058575534,,0.092289485,,0.188749988,0.052794172,0.166747872,0.064462931,-0.19317071,0.139766749,-0.17322195,-0.223251063,-0.081527395,-0.168098131,-0.018771929,-0.111972491,-0.129489616,0.126665097,0.064176084,-0.14259992,0.020314707,-0.023484923,-0.051404708,-0.095189137,-0.059964546,0.005634713,-0.079762892,0.086634616,-0.182510752,-0.114247886,,,,0.031692957,-0.080498152,
Sep-97,-0.071907252,-0.054307907,0.031405035,0.02678662,-0.020778724,,,-0.031427208,-0.002067408,-0.026120563,0.024460022,0.002118435,0.020050392,0.006739989,0.051708358,0.014001265,-0.028557839,-0.04169348,0.016862334,-0.055740533,,-0.077124756,0.006426425,0.024718326,0.021905271,-0.002934825,0.023413112,-0.041506205,0.028082813,-0.046857826,-0.046857826,-0.039303931,0.04336699,-0.00877882,0.039716465,0.020821212,-0.031802261,-0.01338156,-0.025876608,-0.004005769,-0.017903446,0.000204889,-0.050544179,0.041560517,0.024763065,-0.022005807,-0.019283046,0.019484113,0.028728594,,,,,,,,-0.097115097,,,,-0.054119196,,-0.080605428,,-0.030185086,0.044699587,-0.062820451,0.076898134,0.086863914,0.016002018,0.036266693,-0.037985426,0.071899524,0.065583981,-0.145233,0.027057277,-0.00255748,0.023753848,0.008641342,0.014669582,0.03570417,-0.011174337,0.011322986,0.003867817,0.03536441,0.012347703,0.032499866,0.03442303,0.051773183,0.048288649,,,,0.001002979,-0.005339162,
Oct-97,0.089478147,-0.131405466,-0.141347575,-0.065990694,0.02856234,,,-0.000582711,-0.087382351,0.041262376,-0.003386005,-3.96E-05,0.036027255,-0.089657642,-0.030991261,0.025826624,-0.021386686,-0.017025187,0.025427915,-0.12040874,,0.064820374,-0.021697187,0.022051919,-0.048634297,-0.054526159,-0.031637149,0.03209041,-0.063679468,0.008272261,0.008272261,0.014681817,0.00741747,-0.045880781,-0.020682159,-0.017534606,0.046393041,0.028175842,0.039934905,-0.046355749,-0.01670528,-0.026945231,0.017440886,-0.009101897,0.004413314,0.028508531,-0.054858372,-0.028973386,-0.00709849,,,,,,,,0.034860236,,,,-0.047565161,,-0.123097516,,-0.219701199,-0.073174189,-0.100902611,-0.036867174,-0.091009809,-0.091041023,-0.077857121,-0.041071454,-0.129784125,0.018920099,0.206226,0.067580706,-0.016218698,-0.074922776,-0.073377907,0.030903132,-0.040093673,-0.011625864,-0.0249634,-0.029967714,-0.052337507,-0.00114283,0.019704374,-0.042747555,0.005031734,0.049503522,,,,0.009481401,-0.03874758,
Nov-97,-0.051477228,-0.006374699,0.009736078,-0.001838468,0.013595667,,,0.048251205,0.006131684,-0.041638401,0.002393585,-0.003067901,-0.007595469,-0.036653831,0.009198177,0.055389787,0.022369926,0.005592539,0.000985394,-0.010621058,,-0.047739863,0.033866404,-0.014526187,-0.003406825,-0.042991766,-0.010580112,-0.023235629,0.008616031,-0.016522282,-0.016522282,-0.01472937,0.019164998,-0.017859173,0.016963581,0.038114097,-0.034364893,-0.010504997,0.003293358,-0.009785043,-0.036832052,-0.007739874,-0.022121827,0.040524389,0.017783942,-0.027267157,-0.004081074,-0.008534666,0.019981417,,,,,,,,-0.041152811,,,,0.006570728,,-0.069036489,,-0.031381533,0.074002551,-0.065066461,-0.016256319,-0.054518233,0.014830923,0.041937434,-0.062828601,0.134328239,0.078569848,-0.145161,-0.031456302,0.016920698,0.014176727,0.010600974,-0.007841782,0.014514614,0.04121436,0.0234266,0.022222019,0.019518044,0.008213597,0.019986104,-0.015188264,0.016183629,0.017577196,,,,0.016784657,0.000474841,
Dec-97,-0.059453579,-0.072125269,-0.103664858,-0.112236705,0.021231331,,,0.05147453,-0.037717372,-0.03587484,0.106041037,0.062932869,0.049428479,0.055855837,0.026131499,-0.023734117,0.028268396,0.058729397,0.022056509,-0.077761027,,-0.006461924,0.040359237,0.047759384,-0.008587791,0.058618041,-0.048791837,-0.047062022,-0.078506617,-0.040010436,-0.040010436,-0.018890301,0.038992422,-0.044609049,0.015070385,0.027725005,-0.019944548,0.002421634,0.014218665,-0.03809822,0.001609093,-0.029527924,-0.025922222,0.013009741,0.004787079,-0.031711179,-0.058580748,-0.011082751,0.010457463,,,,,,,,0.013184301,,,,0.097365103,,-0.114673437,,0.004196205,0.019528971,-0.057413319,-0.159881897,-0.094372247,-0.078656156,0.042835919,0.046045684,0.131789552,0.184902952,-0.003774,-0.028682077,0.059141807,0.042401147,0.036993011,0.069455404,0.062403582,0.018640066,0.013776069,0.019216176,0.070923923,-0.056509727,0.01072975,-0.043142349,0.082612859,0.04048902,,,,0.007651076,0.038750425,
Jan-98,-0.004783553,-0.001099081,-0.041592037,-0.049217824,-0.044358293,,,0.00312485,-0.014123096,0.016892066,0.01566751,-0.01779884,-0.034775553,0.045439422,0.010715884,0.015829521,-0.013545432,0.004384767,-0.043065705,0.004249616,,-0.022268809,0.030268814,0.018033329,0.035307911,0.096308252,-0.021848002,-0.013826833,-0.018847447,-0.020267369,-0.020267369,-0.007833229,0.018781242,0.014017668,0.011321144,0.006867969,-0.013217774,-0.005367893,-0.004112533,0.004621382,-0.012863078,0.01652284,-0.025046733,0.009204099,-0.007199472,-0.028606321,-0.009079102,0.001864333,-0.002211447,,,,,,,,-0.025732866,,,,0.01361814,,0.009070555,,0.005623735,-0.067982176,-0.006678984,-0.018785453,0.022315777,0.002178535,-0.001650386,-0.004797279,-0.060012772,-0.013919946,-0.010101,0.000215303,0.038876941,0.018352463,0.019248485,-0.01641811,0.030236277,0.045086575,0.023644737,0.025611062,0.024303295,0.018504857,0.009177298,-0.012447451,0.024464146,-0.003155195,,,,-0.02356259,-0.024888513,
