TradingMonth,RiskPremium1,SMB1,HML1,RMW1,CMA1
Jan-97,0.071225,0.035022,0.009923,-0.004846,-0.012901
Feb-97,0.051225,0.041718,0.008079,-0.060759,0.024476
Mar-97,0.184225,0.043657,-0.026034,0.040208,-0.100144
Apr-97,0.085225,-0.047878,-0.028225,-0.001907,-0.166939
May-97,-0.081775,-0.039835,0.029129,0.037492,-0.018631
Jun-97,-0.004775,0.01789,0.008128,0.053611,-0.056673
Jul-97,-0.066775,0.046219,0.01205,0.003738,0.015565
Aug-97,-0.001775,0.008968,0.047916,-0.084791,0.077238
Sep-97,-0.116775,0.0221,-0.007939,-0.005433,-0.002308
Oct-97,0.1296,-0.042686,-0.016707,0.044303,-0.028863
Nov-97,-0.0524,0.03325,-0.009641,0.008988,-0.01086
Dec-97,0.0326,0.067474,-0.02843,0.047388,-0.045262
Jan-98,0.0176,0.039904,-0.023723,-0.000816,0.002135
Feb-98,-0.0214,0.016147,0.023883,-0.05842,0.029475
Mar-98,0.0166,0.048388,0.018275,-0.028726,0.054695
Apr-98,0.0786,0.0831,0.014553,0.022003,-0.002963
May-98,0.0516,0.084237,0.022612,-0.054741,0.016611
Jun-98,-0.0654,0.014818,0.00638,0.027956,0.006934
Jul-98,-0.016325,0.014711,0.005695,-0.01893,0.024682
Aug-98,-0.128325,0.02538,-0.002736,-0.012172,0.007174
Sep-98,0.075675,0.071814,0.02196,-0.022482,0.032028
Oct-98,-0.016325,0.053104,-0.032351,0.010974,-0.026119
Nov-98,0.017675,-0.015516,-0.010692,0.026562,-0.016394
Dec-98,-0.083325,-0.026301,0.011228,0.013798,-0.014004
Jan-99,-0.011325,0.016576,-0.004331,-0.005592,-0.01113
Feb-99,-0.045325,0.006863,0.002148,0.009199,0.002877
Mar-99,0.065675,0.049112,0.044272,-0.083608,0.063389
Apr-99,-0.035325,-0.016266,0.032332,-0.015954,0.013604
May-99,0.109675,-0.036972,-0.017918,0.015232,-0.053147
Jun-99,0.35535,-0.079209,-0.089648,-0.001833,0.032148
Jul-99,-0.06365,0.026634,0.018414,-0.011146,0.016263
Aug-99,0.01135,0.045001,0.02314,-0.045152,0.061048
Sep-99,-0.02965,0.011746,-0.015859,0.006897,-0.014561
Oct-99,-0.05065,0.025316,-0.000554,-0.005033,-0.000915
Nov-99,-0.04665,0.03042,0.006778,-0.007531,0.002772
Dec-99,-0.04865,-0.019843,-0.032612,0.025587,-0.021862
Jan-00,0.14635,-0.003889,-0.091037,0.036031,-0.062093
Feb-00,0.11535,0.034952,-0.013924,-0.007671,0.019518
Mar-00,0.05735,0.067887,0.0215,-0.061041,0.069747
Apr-00,0.01335,-0.011537,0.028698,-0.016859,0.008137
May-00,0.02435,0.026897,0.023714,-0.013556,-0.002326
Jun-00,0.02135,-0.020219,0.027978,0.014276,0.007352
Jul-00,0.04435,0.019687,0.030822,-0.008893,0.05036
Aug-00,-0.00865,0.042065,-0.022336,-0.034904,0.014779
Sep-00,-0.04765,0.029216,-0.035105,-0.007865,0.015514
Oct-00,0.02335,0.033365,0.015506,-0.001651,0.008331
Nov-00,0.05235,0.013289,0.022524,0.008374,-0.001382
Dec-00,-0.00465,0.022845,0.009661,0.02643,-0.011866
Jan-01,-0.00965,-0.009832,0.028318,0.001501,0.006975
Feb-01,-0.05965,-0.011666,0.026054,0.022399,-0.010714
