Stkcd,1997/1/1,1997/2/1,1997/3/1,1997/4/1,1997/5/1,1997/6/1,1997/7/1,1997/8/1,1997/9/1,1997/10/1,1997/11/1,1997/12/1,1998/1/1,1998/2/1,1998/3/1,1998/4/1,1998/5/1,1998/6/1,1998/7/1,1998/8/1,1998/9/1,1998/10/1,1998/11/1,1998/12/1,1999/1/1,1999/2/1,1999/3/1,1999/4/1,1999/5/1,1999/6/1,1999/7/1,1999/8/1,1999/9/1,1999/10/1,1999/11/1,1999/12/1,2000/1/1,2000/2/1,2000/3/1,2000/4/1,2000/5/1,2000/6/1,2000/7/1,2000/8/1,2000/9/1,2000/10/1,2000/11/1,2000/12/1,2001/1/1,2001/2/1,2001/3/1,2001/4/1,2001/5/1,2001/6/1,2001/7/1,2001/8/1,2001/9/1,2001/10/1,2001/11/1,2001/12/1,2002/1/1,2002/2/1,2002/3/1,2002/4/1,2002/5/1,2002/6/1,2002/7/1,2002/8/1,2002/9/1,2002/10/1,2002/11/1,2002/12/1,2003/1/1,2003/2/1,2003/3/1,2003/4/1,2003/5/1,2003/6/1,2003/7/1,2003/8/1,2003/9/1,2003/10/1,2003/11/1,2003/12/1,2004/1/1,2004/2/1,2004/3/1,2004/4/1,2004/5/1,2004/6/1,2004/7/1,2004/8/1,2004/9/1,2004/10/1,2004/11/1,2004/12/1,2005/1/1,2005/2/1,2005/3/1,2005/4/1,2005/5/1,2005/6/1,2005/7/1,2005/8/1,2005/9/1,2005/10/1,2005/11/1,2005/12/1,2006/1/1,2006/2/1,2006/3/1,2006/4/1,2006/5/1,2006/6/1,2006/7/1,2006/8/1,2006/9/1,2006/10/1,2006/11/1,2006/12/1,2007/1/1,2007/2/1,2007/3/1,2007/4/1,2007/5/1,2007/6/1,2007/7/1,2007/8/1,2007/9/1,2007/10/1,2007/11/1,2007/12/1,2008/1/1,2008/2/1,2008/3/1,2008/4/1,2008/5/1,2008/6/1,2008/7/1,2008/8/1,2008/9/1,2008/10/1,2008/11/1,2008/12/1,2009/1/1,2009/2/1,2009/3/1,2009/4/1,2009/5/1,2009/6/1,2009/7/1,2009/8/1,2009/9/1,2009/10/1,2009/11/1,2009/12/1,2010/1/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2010/10/1,2010/11/1,2010/12/1,2011/1/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/1,2011/11/1,2011/12/1,2012/1/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2012/10/1,2012/11/1,2012/12/1,2013/1/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2013/10/1,2013/11/1,2013/12/1,2014/1/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1
2,0.067813,0,0.284436,0.412256,-0.113905,0.35523,-0.111875,-0.206102,-0.169412,0.405099,-0.053763,0.002131,-0.07158,-0.056489,0.087379,0.046875,-0.047619,-0.13209,0.065083,-0.154537,0.013815,-0.085954,0.045872,-0.074561,-0.069905,-0.021656,0.020833,0.159439,0.237624,0.267556,-0.093969,-0.019423,-0.071741,-0.082941,0.141829,-0.122412,0.161126,0.405687,-0.144302,-0.016548,-0.047276,0.136249,0.027387,-0.04929,-0.052833,0.067098,0.060606,-0.000714,0.067191,-0.077696,0.098765,-0.036352,-0.026063,0.042958,-0.066172,0.068881,0.011644,-0.092079,0.006711,-0.011111,-0.072659,0.021002,0.003165,-0.020505,-0.090177,0.169027,-0.073077,-0.014938,-0.037068,-0.038495,-0.078253,-0.047384,0.043523,0.025819,0.143272,0.087214,0.126947,-0.183731,0.094502,0.014129,-0.092879,0.013652,-0.005051,0.106599,0.200306,0.03949,0.082108,-0.129105,-0.008308,-0.037624,0.100823,-0.061682,0.079681,-0.077491,0.024,0.027344,0.079848,0.003521,-0.031579,0.068841,-0.211864,0.044165,0.22293,-0.046875,-0.019126,0.069638,0.028646,0.091139,0.143852,0.107505,0.199634,-0.048855,-0.041734,-0.053601,0.004882,0.245487,0.097101,0.081902,0.462759,0.288815,-0.00842,-0.037231,0.125509,0.089813,0.620586,-0.014941,0.480126,0.194346,-0.102578,0.289073,-0.189571,-0.085895,-0.096741,-0.107486,0.101075,-0.048047,-0.189577,-0.265772,-0.056604,-0.167059,-0.077684,-0.099541,0.159864,-0.054252,0.091473,0.015625,0.158042,0.024155,0.148585,0.314909,0.047843,-0.296407,0.108511,0.104607,0.001738,-0.062446,-0.135985,0.009636,0.007423,-0.178947,-0.066826,-0.059639,0.222714,0.015682,-0.002375,0.154762,-0.161856,0.01107,-0.002433,-0.004878,0.064951,-0.024166,-0.063769,0.077806,-0.035503,0,-0.111656,0.104972,-0.1175,0.058074,0.024096,0.082353,0,0.084541,0.030067,-0.036757,0.05041,-0.131094,0.051122,-0.013049,0.051683,0.156571,0.186759,-0.000833,-0.103333,0.025093,0.102837,-0.177796,-0.033503,-0.006303,-0.034884,0.008762,-0.04886,-0.083333,-0.080946,-0.089431,0.203869,-0.023486,0.142649,-0.032749,0.197098,-0.078788,0.006579,0.023965,0.159574,0.275229,-0.056115,-0.028201,0.083922,0.05644,-0.017123,0.011847,0.010236,-0.026798,-0.077536,0.073841,0.102414,0.621102,,,,,,,-0.268932,0.454492,0.049739,-0.047765,0.082665,-0.238325,0.006326,-0.007253,0.002435,-0.052478,0.090256,0.174506,-0.064077,0.027624,0.130004,0.103238,0.078039,-0.005125,0.209272,-0.129393,0.018043,-0.146891,-0.098944,-0.038687,-0.052033,0.071976,0.010395,-0.002881,0.049938
3,0.046136,0.036384,0.170213,-0.120909,-0.152017,0.096341,-0.104561,0.078261,-0.203917,0.105644,-0.099476,-0.037791,0.022659,-0.01034,0.047761,0.009972,0.021157,-0.14779,0.006483,-0.217391,0.028807,-0.058,0.097665,-0.011605,-0.152642,-0.078522,0.115288,-0.042697,0.011737,0.415313,0.001639,0.01473,-0.074194,-0.097561,0.194981,-0.116317,0.053016,0.145833,0.180303,-0.124519,-0.099707,0.011401,0.082126,0.052083,-0.062235,0.084465,0.094576,-0.047014,-0.006667,-0.189262,0.124172,-0.081001,-0.230769,-0.014583,,,,,,-0.238901,-0.475,-0.079365,0.281609,0.215247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.073579,0.152648,0.167568,-0.219907,0.038576,0.131429,-0.170455,0.147641,-0.18435,0.143089,-0.130868,-0.031097,0.128378,-0.05988,0.082803,0.164706,0.203283,-0.206716,0.005291,-0.078947,0.367143,0.338558,-0.167838,-0.146341,-0.12967,-0.085859,0.39779,,,,,,,,,,,,,,,,,,,,,,,,,0.010147,-0.003117,0.008339,-0.155755,0.030612,-0.116832,-0.124664,0.125,0.003188,-0.052202,0.06705,-0.017953,0.000914,0.040639,-0.148529,0.016012,-0.071683,-0.028478,-0.153326,0.003995,-0.005968,-0.011341,0.052632,-0.082692,-0.021663,0.006429,-0.182711,0.059182,0.006574,-0.139592,-0.255218,0.095541,-0.025581,0.046539,0.148233,0.308838,-0.208649,0.059444,-0.257919,-0.126829,-0.138268,0.157212,-0.057423,0.129272,-0.103947,-0.138032,0.115843,-0.154198,-0.202166,0.045249,-0.030303,-0.109375,0.182957,0.004237,-0.056962,0.004474,-0.077951,0.012077,0.033413,-0.046189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0978,-0.103192,-0.139073,0.039423,-0.000925,-0.250926,0.02225,0.140266,-0.137858,0.0492,0.100821,-0.097977,-0.057851,-0.005013,0.02267,0.013547,-0.120292,0.129834,0.139364,0.078326,-0.050746,0.115304,0.102444,-0.147485,0.009,0.205154,0.046875,-0.083268,0.071979,-0.068745,0.055794,0.146341,-0.094326,0.054033,-0.023031,0.055513,0.052594,-0.006845,0.290145,0.194444,0.001789,-0.304911,0.114322,0.078963,0.280983,0.056297,0.334781,0.138716,-0.235065,0.085229,-0.206508,0.281546,0.225846,0.152108,-0.389978,-0.03,0.356038,,,,,,0.017106,0.065136,0.057143,0.064486,-0.147216,0.018543,-0.076923,,,-0.2875,-0.130214,0.037651,0.039741,-0.017034,0.080304,-0.124413,-0.097408,0.019802,0.109223,-0.087527,0.081535,-0.13082,-0.064286,-0.052345,-0.085155,-0.022642,0.043758
5,0.091282,0.177632,0.07103,0.346498,-0.071389,0.095948,-0.404024,-0.008394,-0.148325,0.344101,-0.025078,-0.024652,-0.102198,0.183599,0.127198,0.161468,-0.036335,-0.136066,-0.045541,0.021371,0.008759,-0.033285,0.02994,-0.145349,-0.068027,-0.063869,0.083821,0.152878,0.146646,0.093878,0.004975,0.024752,-0.080918,-0.080158,0.018571,-0.152875,0.365894,0.04,0.04662,0.016704,0.09529,0.037,-0.03568,-0.0064,-0.156493,0.059211,0.052174,-0.000216,0.117723,-0.09375,0.113665,-0.094037,0.072152,-0.033058,-0.142385,-0.088372,-0.034014,-0.033451,0.03643,-0.091388,-0.197292,0.113253,0.134199,0.040076,-0.078899,0.358566,-0.11437,0.016556,-0.057003,-0.048359,-0.096189,-0.084337,0.100877,0.003984,-0.06746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.112565,-0.224189,0,-0.262357,0.21134,0.055319,0.108871,0.076364,0.277027,-0.071429,0.156695,0.03202,0.157518,-0.239175,0.105691,0.115196,0.384615,-0.044444,-0.104651,0.037106,0.06619,-0.196309,-0.08977,-0.12156,0.219321,0.042827,-0.102669,-0.009153,-0.110855,-0.046753,-0.046322,0.214286,-0.047059,-0.046914,,,,,,,,,,,,0.028497,-0.110831,-0.147309,-0.093023,0.018315,0.02518,0.017544,-0.131034,0.178571,0.043771,-0.029032,-0.10299,-0.033333,0.05364,-0.170909,-0.039474,0.173516,-0.042802,0.077236,0.003774,-0.06015,-0.06,0,0.076596,-0.094862,-0.017467,0.004444,0.106195,0.032,0.531008,-0.012658,0.025641,0.025,,,,,2.858537,-0.419722,-0.174292,-0.224274,0.05102,0.652104,-0.087169,0.077253,-0.306773,-0.00431,0.106782,-0.0691,-0.026611,0.084892,-0.050398,0.048883,-0.023968,0.004093,0.008152,-0.088949,-0.029586,0,-0.045732,-0.070288,-0.106529,0.007692,-0.057252,-0.010121,0.03272,-0.063366,-0.112051,-0.014286,-0.02657,-0.052109,0.010471,-0.072539,-0.039106,-0.139535,0.064189,-0.060317,-0.006757,-0.071429,0.098901
6,0.097866,-0.041555,0.318398,0.319124,-0.066376,0.173059,-0.082089,0.172748,-0.136121,0.181767,-0.08,0.062629,-0.042377,-0.074771,-0.02144,0.014607,-0.03433,-0.110665,-0.003664,-0.136265,-0.024207,-0.101796,0.081905,-0.079225,-0.073614,-0.079463,0.125561,-0.049801,0.194969,0.275439,-0.120969,-0.070747,-0.056459,-0.091568,0.032934,-0.08599,0.161734,0.049136,-0.028621,0.071429,-0.010833,0.133109,0.046937,-0.113734,-0.115416,0.042883,0.069116,0.081015,0.03785,-0.045222,0.069519,0.023571,-0.026518,-0.000717,-0.054519,0.007994,-0.0466,-0.090545,0.012335,-0.029591,-0.099552,0.045817,0.030476,0.032348,-0.112802,0.29667,-0.126848,0.030212,-0.065617,-0.068352,-0.103518,-0.084081,0.112607,0.027503,-0.049251,-0.135135,0.028646,-0.129114,-0.0696,0.036392,-0.103817,-0.122658,0.034951,-0.015009,0.091429,0.294939,0.001348,-0.207268,-0.023769,-0.121739,-0.116832,-0.067265,0.019231,-0.009434,0.092857,-0.100218,0.075061,0.063063,-0.131356,0.041463,-0.044496,-0.023285,-0.038363,0.098404,-0.014528,-0.039312,0.051151,0.038929,0.57096,0.105546,0.043689,0.103876,0.120787,0.020248,0.080605,0.092075,-0.08111,0.045296,0.4,0.064286,-0.110365,0.081308,0.103876,0.420646,0.330402,-0.063205,0.285141,-0.029688,0.143317,0.052113,-0.27925,-0.028603,-0.005736,0.015,-0.072755,0.120963,-0.153734,-0.33391,0.11039,-0.260819,-0.210443,-0.208417,0.260759,-0.01004,0.111562,0.175182,0.397516,0.09,0.160041,0.167346,0.029545,-0.286976,0.01032,0.151175,0.137533,-0.116225,-0.120918,0.042169,0.153179,-0.204678,-0.127758,-0.054945,0.73062,-0.083987,-0.096577,-0.013532,-0.056241,0.013081,0.020086,0.015471,0.085873,-0.008929,-0.092664,0.08024,-0.005164,-0.057093,-0.07156,0.051383,-0.12406,-0.120172,0.070732,0.200456,0.045541,0.15245,-0.03622,-0.066993,-0.06021,-0.021951,0,0.034913,-0.06988,0.282383,0.117172,-0.057866,-0.136276,-0.022222,0.136364,-0.085447,-0.051643,0.178218,-0.029412,0.030303,0.216387,-0.148532,-0.11359,-0.016018,0.253488,-0.100186,-0.028866,0.005023,0.085153,0.080483,0.091248,0.071672,0.105096,0.01585,-0.078014,0.010769,0.339422,0.327273,0.335616,-0.123528,-0.13633,-0.09471,-0.114043,0.251064,-0.056122,0.036937,-0.352737,-0.013423,0.129252,-0.044578,-0.069357,0.01522,0.008141,0.144011,0.136471,0.018634,-0.02439,-0.015625,-0.08254,0.012687,-0.056948,0.004831,0.008413,0.071685,-0.034052,-0.007051,0.16568,,,,,,-0.251777,-0.05156,-0.008584,-0.12885,0,-0.076792,0.053604,-0.110526,0.063116
7,0.342282,0.13,0.44174,0.329923,-0.119615,0.155526,-0.183138,-0.098375,-0.186186,0.274293,-0.132239,-0.070078,-0.002392,0.009592,-0.039192,0.02225,0.234583,-0.167483,-0.004706,-0.251773,0.268562,0.027397,0.013333,-0.102871,-0.030667,-0.071527,0.115556,0.078353,0.144089,0.241119,-0.11882,-0.03248,-0.005086,-0.06953,-0.092308,-0.031477,0.155,0.159091,0.218487,-0.134866,-0.025686,0.072727,-0.075424,0.052246,0.067944,0.117455,0.148175,-0.154482,-0.030827,-0.18076,0.230114,,,,,,,,,,,,,,-0.006122,0.159138,-0.082374,0.013514,-0.078095,-0.020661,-0.10654,-0.072019,0.153944,0.009923,-0.066594,-0.061988,-0.017456,-0.087563,-0.038943,0.0767,-0.119624,-0.155725,-0.01085,-0.131627,0.202105,0.171629,0.201794,-0.24005,0.080196,-0.080303,-0.149918,-0.137597,-0.013483,-0.150342,0.123324,-0.193317,0.109467,0.096,-0.145985,-0.250712,0.471483,-0.074935,-0.047486,0.131965,0.023316,-0.197468,0.056782,-0.038806,0.114907,-0.002786,-0.083799,-0.207317,0.319231,0.049563,0.05,0.045502,0.038462,-0.114815,0.066946,-0.05098,0.202479,0.295533,0.320955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.054777,0.113881,-0.033878,-0.036318,0.044834,-0.214552,0.145685,0.263994,0.073811,-0.196538,0.026616,0.048765,-0.220129,0.081509,-0.002093,-0.062238,0.090977,-0.032126,-0.019774,-0.028818,-0.041543,-0.059598,-0.005761,-0.047185,,,,0.445699,0.024639,-0.042815,-0.105392,-0.009589,-0.08852,0.452959,0.37859,0.104924,,,,,,-0.251286,0.089286,,,,,,,-0.262295,0.276353,0.085714,0.061678,-0.012781,0.005492,-0.071011,,,,,,0.056489,-0.062612,0.059796,,,,,,-0.139856,-0.05164,0.002943,-0.017608,0.000747,-0.087313,-0.359771,-0.074074,-0.013793
8,0.17608,0.112994,0.418782,-0.107335,-0.185371,0.339483,-0.012856,-0.146047,-0.217865,0.164345,-0.119617,0.001359,-0.048847,-0.015692,0.03913,0.079498,0.167959,-0.163717,0.001323,-0.200793,0.31405,0.089308,0.053118,-0.055921,0.450639,0.104884,0.034783,0.168067,0.290168,0.417751,-0.026549,-0.124579,-0.018077,0.133177,0.344625,0.087404,1.126714,-0.061138,-0.142908,-0.012985,-0.075017,0.065819,-0.123367,-0.048259,-0.082695,-0.011501,0.009383,-0.064696,-0.512224,0.00978,0.033091,-0.015234,-0.03808,-0.028454,-0.261885,0.035078,-0.133333,-0.119231,0.064047,-0.181943,-0.164716,0.118118,0.440466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.327065,-0.285541,0.056122,-0.091787,-0.124113,0.125506,-0.059353,-0.139579,0.093333,-0.009756,0.041872,0.073286,-0.063877,-0.12,0.328877,-0.01006,-0.010163,-0.094456,0.058957,-0.062099,0.002283,-0.050114,0.342926,0.142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272992,-0.057339,0.097324,-0.013304,0.079775,-0.010406,0.056782,-0.104478,-0.047778,0.121354,-0.011446,-0.023158,-0.057112,-0.04,,,0.922619,0.247678,0.209429,-0.093558,0.15301,0.016097,0.50541,,,,0.016786,-0.139824,0.059574,0.571084,-0.095092,-0.001695,-0.288625,-0.128878,0.480822,-0.008326,0.078358,-0.057958,-0.078972,-0.057827,0.025397,0.012384,0.025484,-0.073559,-0.065451,0.005741,-0.002283,-0.075515,-0.122525,0.028242,0.035714,0.068966,0.120347,0.016611,-0.076253,0.03184,-0.053714,-0.086957,-0.095238,-0.121345,-0.071547,-0.102151,,-0.21283,0.128205,0.002273,-0.147392
9,0.05644,-0.00274,0.201923,-0.121143,-0.106632,0.0131,-0.20977,0.061995,-0.113402,0.089147,-0.094306,-0.086444,-0.019355,0.109649,0.225296,0.146774,0.021097,-0.212121,0.055944,-0.153974,0.015656,-0.082852,0.006303,-0.091858,-0.098851,-0.061224,0.078804,,,,,,,,,,,,,,0.134228,0.260355,-0.017606,0.001195,-0.138425,-0.012465,0.021038,-0.021978,0.11236,-0.093434,0.10585,-0.079345,-0.001368,0.012329,-0.17862,-0.110379,-0.048148,0.001946,0.017476,-0.066794,-0.141104,0.038095,0.327982,0.020725,-0.120135,0.469231,-0.123037,0.028358,-0.078374,-0.026772,-0.108414,-0.090744,0.091816,0.02011,-0.05914,-0.001905,0.053435,-0.115942,-0.108607,0.05977,-0.047722,0.075171,0.010593,-0.054507,0.179601,0.065789,0.0194,-0.148789,-0.006098,-0.175869,-0.019851,-0.035443,0.034121,-0.053299,-0.010724,-0.070461,-0.055394,0.07716,-0.183381,-0.066667,-0.041353,-0.007843,-0.177866,0.230769,-0.058594,-0.099585,0.082949,-0.017021,0.099567,0.133858,0.020833,0.05102,0.087379,0.080357,0.00551,0.049315,0.138381,-0.116972,0.166234,-0.057906,0.146572,0.119588,0.381215,0.4,0.255238,-0.119879,0.105172,0.031981,0.098262,0.037164,-0.236894,0.382609,-0.141509,0.068132,-0.017147,,-0.340866,-0.336512,0.010267,-0.247967,-0.124324,0.154321,0.139037,-0.065728,0.467337,0.356164,0.233586,0,0.032753,0.175421,0.081788,-0.206835,0.062048,0.218111,0.008793,-0.129952,-0.050091,0.084372,0.051282,-0.058032,-0.120536,-0.126904,0.15814,0.128207,0.066964,0.11046,0.292389,-0.022157,0.059034,0.231982,-0.168647,-0.039582,-0.071551,0.061652,0.113821,-0.012577,-0.150106,-0.02301,0.080204,-0.35769,0.183486,-0.045736,-0.176279,0.096647,0.028777,-0.125874,-0.18,0.073171,0.0125,-0.016835,-0.121005,0.142857,0.103409,-0.061792,0.093304,-0.004016,0.30746,-0.151889,0.093222,-0.048897,0.038306,-0.042718,-0.007099,-0.034729,-0.008466,0.19317,-0.057245,-0.045541,0.014911,,,0.540257,0.016832,-0.024078,0.026985,-0.027778,0.009266,0.159908,0.101583,0.34012,-0.096515,-0.193373,-0.343961,0.034468,-0.041629,0.510859,0.25,-0.102,-0.3402,-0.073418,0.250455,-0.003642,-0.062865,0.068643,0.004084,0.116371,-0.083039,0,-0.013487,0.011719,-0.082046,0.026288,-0.060451,-0.08506,-0.123957,0.10068,0.18047,-0.099447,0.047786,-0.093437,-0.067485,-0.048684,-0.123098,-0.047319,0.004967,-0.041186,-0.015464,-0.144852,0.028538,-0.079681,0.004329,-0.133621,0.186567
10,0.075269,0.175,0.506383,0.053672,-0.219839,0.101375,-0.029359,-0.135069,-0.082785,0.534359,-0.04746,0.105287,0,-0.023881,0.146789,0.386667,-0.046635,-0.167423,-0.049061,-0.018471,-0.010383,0.099672,0.025045,-0.063409,-0.012422,0.012579,-0.078882,0.058665,0.247134,0.128703,-0.095023,-0.088,0.053728,-0.062435,0.00444,-0.187845,-0.036735,0.204802,0.159437,,,,,,,,,,,,,,0.030283,0.002556,-0.152326,-0.078947,-0.108571,-0.09707,0.15213,-0.106514,-0.206897,0.032298,0.268351,0.032258,-0.086397,0.176056,-0.068435,-0.009183,-0.0519,-0.043988,-0.114519,-0.096998,0.139386,0.03367,-0.07709,-0.088235,0.00129,-0.028351,-0.001326,0.034529,-0.115533,-0.145138,0.003396,-0.096447,0.217228,0.1,0.081119,-0.121604,0.12813,-0.164491,-0.175,-0.081439,-0.010309,-0.11875,0.210402,-0.132812,-0.074324,0.07056,-0.145455,-0.178191,0.032362,-0.025078,-0.212219,0.306122,-0.025,-0.076923,0.006944,-0.027586,-0.042553,0.066667,-0.013889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095923,0.017241,-0.100391,0.056522,-0.133059,-0.129747,-0.047273,0.253817,0.050228,0.071014,0.052774,0.053985,-0.067073,-0.03268,,,,,1.358108,-0.380516,-0.233117,-0.137515,-0.137063,0.410049,0.042529,0.113561,-0.170297,-0.045346,0.04125,0.069628,-0.131313,0.011628,-0.01788,0.084525,0.008393,-0.073722,-0.002567,-0.010296,-0.075423,-0.002813,-0.043724,-0.081121,-0.200642,0.014056,-0.027723,0.03055,0.057312,0.127103,-0.149254,0.05653,-0.121771,-0.065126,0.013483,-0.279379,0.089231,0.10452,0.186701,-0.028017,0.068736,-0.091286,-0.047945
11,0.087391,0.030999,0.229399,-0.128623,-0.170478,0.076441,-0.216531,-0.065379,-0.149444,0.371963,-0.159401,-0.090762,0.017825,0.056042,0.026534,-0.024233,0.066225,-0.118012,0.010563,-0.04007,-0.021779,-0.048237,0.148148,0.202037,-0.166667,-0.125424,0.248062,0.020186,0.211568,0.300251,-0.101449,-0.075269,-0.022093,-0.091558,-0.005236,-0.139474,-0.03211,0.14218,0.167358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089552,-0.138943,-0.006818,0.160183,0.021696,-0.015444,-0.111765,0.015453,0.134783,,,,,,0.005747,-0.030476,0.058939,0.103896,-0.109244,0.033962,0.040146,0.208772,0.068215,0.169837,0.293844,0.199282,-0.098802,-0.027409,0.23228,0.011781,-0.093836,-0.136054,0.107612,-0.172196,-0.016221,-0.200776,,,,,,,,,,,,,,,,,,,0.133489,0.254158,-0.101681,-0.089804,0.026721,0.176176,-0.295319,-0.141304,0.139241,0.190123,-0.070539,-0.071429,0.048077,-0.15711,-0.070748,0.026354,0.078459,0.022487,0.201811,0.139935,0.149197,-0.079704,-0.148214,-0.140461,-0.003659,-0.155447,-0.105797,-0.012966,0.318555,-0.165629,0.21791,-0.050245,-0.034839,-0.225936,0.032815,0.020067,0.013115,-0.079288,0.26362,0.009736,-0.022039,-0.130986,0.197731,0.17456,-0.086406,-0.015132,0.161332,-0.055127,-0.066511,-0.00875,-0.015132,-0.079385,-0.048679,0.156433,-0.136536,0.008785,0.011389,0.061103,0.103933,0.050891,0.066586,0.110102,0.02045,-0.068136,0.008602,0.280384,0.218152,0.230349,-0.162945,0.080537,-0.367081,0.007851,0.470302,-0.072185,0.036403,-0.320937,0.288032,0.120472,-0.013352,-0.09669,0.062698,-0.002987,0.168539,0.089103,0.071218,-0.086264,0.126278,-0.113187,0.035521,-0.056977,0.063502,0.04873,0.116695,-0.0455,0.041383,-0.024145,-0.003093,-0.111686,-0.022701,-0.001787,-0.074582,0.031593,-0.12375,-0.03281,-0.161505,0.022584,0.021201,0.00519,-0.234079,0.096629
